Dimension,Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
500,GWO,F1,0.0,1.2117803970059759e-12,0.0,0.0016142129187888263,0.0,0.0015217476899065181,-30.0,+
500,GWO,F2,0.0,2.2622576527640783e-11,8.114903523550659e-217,0.010864160876580776,3.81543242126094e-266,0.010726458303566538,-30.0,+
500,GWO,F3,0.0,1.2117803970059759e-12,0.0,308120.6298366411,0.0,300927.39720596006,-30.0,+
500,GWO,F4,0.0,2.7218256728443658e-11,5.473629057580931e-207,65.1306049821836,4.567999012157707e-240,66.27067471547201,-30.0,+
500,GWO,F5,870.0,5.572653248454238e-10,498.9482682002102,498.1174448366133,498.9755300133785,498.09614181984057,28.0,-
500,GWO,F6,900.0,3.019859359162157e-11,124.63085913633863,91.34940968152394,124.61263932083634,91.14068052092327,30.0,-
500,GWO,F7,0.0,3.019859359162157e-11,0.0001003646547365844,0.04938305316860315,9.076196290014327e-05,0.049012698999597086,-30.0,+
500,GWO,F8,772.0,2.0022927015293786e-06,-45451.968372688476,-58564.10226201513,-32353.98943943745,-59387.04744081859,21.46666666666667,-
500,GWO,F9,0.0,1.2117803970059759e-12,0.0,72.32372226171533,0.0,75.0894929563622,-30.0,+
500,GWO,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,0.0018957446332639627,4.440892098500626e-16,0.00195013340400374,-30.0,+
500,GWO,F11,0.0,1.2117803970059759e-12,0.0,0.012937014766573444,0.0,0.00020170360945076515,-30.0,+
500,GWO,F12,870.0,5.572653248454238e-10,1.1609902562284353,0.7572261825521291,1.2016395136152984,0.7541064408748561,28.0,-
500,GWO,F13,209.0,0.0003770395640831686,49.876346450241044,50.97907151806198,49.890407084795626,50.81124380980735,-16.066666666666666,+
500,ALO,F1,0.0,1.2117803970059759e-12,0.0,172069.1665321939,0.0,158364.92609441554,-30.0,+
500,ALO,F2,0.0,2.2622576527640783e-11,8.114903523550659e-217,1.1364305023209758e+239,3.81543242126094e-266,4.2429758117624443e+96,-30.0,+
500,ALO,F3,0.0,1.2117803970059759e-12,0.0,1854397.9497876575,0.0,1770845.982968451,-30.0,+
500,ALO,F4,0.0,2.7218256728443658e-11,5.473629057580931e-207,47.71070791098911,4.567999012157707e-240,47.05415936890622,-30.0,+
500,ALO,F5,0.0,3.019859359162157e-11,498.9482682002102,115179889.86082217,498.9755300133785,95961749.24533246,-30.0,+
500,ALO,F6,0.0,3.019859359162157e-11,124.63085913633863,168365.94693670297,124.61263932083634,155491.3788204076,-30.0,+
