Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
GWO,F1,0.0,1.2117803970059759e-12,0.0,9.805881514239521e-28,0.0,3.4277552606185745e-28,-30.0,+
GWO,F2,0.0,1.2117803970059759e-12,0.0,9.098967002935348e-17,0.0,6.957916854288228e-17,-30.0,+
GWO,F3,0.0,1.2117803970059759e-12,0.0,1.6310056824034777e-05,0.0,1.7117262435495013e-06,-30.0,+
GWO,F4,0.0,1.2117803970059759e-12,0.0,6.13287698035774e-07,0.0,3.818377640883865e-07,-30.0,+
GWO,F5,819.0,5.092196223484032e-08,28.28397508632145,26.897595543384316,28.64996281544036,27.048393181435884,24.599999999999998,-
GWO,F6,140.0,4.744496840420643e-06,0.30580962071749707,0.660144056030857,0.03765921359450068,0.5017595720543311,-20.666666666666668,+
GWO,F7,0.0,3.019859359162157e-11,0.00011104732198866423,0.002104954940598677,9.083376248303354e-05,0.001991983406241741,-30.0,+
GWO,F8,365.0,0.21156123692597317,-7330.6879735550465,-5798.071281670803,-5971.476683462198,-5928.711799525258,-5.666666666666668,~
GWO,F9,135.0,4.7884092232386675e-08,0.0,3.2791628819010947,0.0,2.155572862344796,-21.0,+
GWO,F10,0.0,1.0758988905119517e-12,4.440892098500626e-16,1.0063061495202419e-13,4.440892098500626e-16,9.992007221626409e-14,-30.0,+
GWO,F11,375.0,0.021577191872833038,0.0,0.002842732105494498,0.0,0.0,-5.0,+
GWO,F12,360.0,0.18576685629821565,0.27797407424104503,0.04737360661521252,1.3293752101512104e-06,0.0417425509994319,-6.0,~
GWO,F13,604.0,0.02324344705367121,1.349836846029414,0.5791880166109363,1.7544567025241515,0.620298529032216,10.266666666666666,-
GWO,F14,349.0,0.13726275612682728,3.5386512291585395,4.487022111380957,0.9980038385337332,2.9821051568270454,-6.733333333333334,~
GWO,F15,141.0,5.091173485363367e-06,0.000327086928171355,0.003859943730096754,0.0003211329667508688,0.00045143683150478613,-20.599999999999998,+
GWO,F16,449.0,0.9941019213254952,-1.0316284300630985,-1.0316284299468077,-1.0316284384435512,-1.0316284354410339,-0.06666666666666998,~
GWO,F17,506.0,0.4119108371475996,0.3978903317325324,0.39794749290321907,0.39788944539483406,0.39788883569578015,3.7333333333333343,~
GWO,F18,243.0,0.0022657813274275305,7.581967229943165,3.000021238395611,3.000002359612611,3.000014561300791,-13.799999999999997,+
GWO,F19,230.0,0.0011737583520143354,-3.8618902001976454,-3.8606796114968946,-3.8627731630460733,-3.862661030910151,-14.666666666666668,+
GWO,F20,636.0,0.006097142345173947,-3.268115527450003,-3.2740174885077735,-3.321617941744566,-3.322354102328566,12.400000000000002,-
GWO,F21,577.0,0.061451911011256986,-8.796057576788062,-9.814392267919146,-10.146243784186378,-10.15137323620955,8.466666666666669,~
GWO,F22,692.0,0.00035638379914234935,-9.33642620256563,-10.40108978793703,-10.395847233756049,-10.400961554716481,16.133333333333336,-
GWO,F23,657.0,0.0022657813274275305,-9.125356316648064,-10.53452647265656,-10.531793950747328,-10.534716576597873,13.799999999999997,-
ALO,F1,0.0,1.2117803970059759e-12,0.0,0.0006286916285153253,0.0,0.0004391278610238542,-30.0,+
ALO,F2,0.0,1.2117803970059759e-12,0.0,49.59471764599827,0.0,28.770211408657083,-30.0,+
ALO,F3,0.0,1.2117803970059759e-12,0.0,4787.445817444929,0.0,4330.071566980618,-30.0,+
ALO,F4,0.0,1.2117803970059759e-12,0.0,20.322860660921478,0.0,19.147908083553638,-30.0,+
