Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average,MeanRank_13,FinalRank,PaperMeanRank,PaperFinalRank,MeanRankDelta,FinalRankMatch
F1,SCHO,30,0.0,0.0,0.0,2.0,2.8461538461538463,1.0,1.85,1,0.9961538461538462,True
F1,GWO,30,2.1137240904269285e-13,1.213037236468124e-12,8.816885879702072e-13,6.0,4.230769230769231,6.0,4.15,5,0.08076923076923048,False
F1,ALO,30,650.858743090363,2490.5727979632957,1318.2642213641325,8.0,7.615384615384615,8.0,7.69,8,-0.07461538461538542,True
F1,SCA,30,1558.52154457342,10546.076221733798,6572.276128539742,9.0,8.692307692307692,9.0,8.69,9,0.002307692307692122,True
F1,SSA,30,694.9362451984599,1386.4035930013538,388.37257255915324,7.0,6.615384615384615,7.0,6.54,7,0.07538461538461494,True
F1,AOA,30,0.0,0.0,0.0,2.0,3.6923076923076925,3.0,4.77,6,-1.077692307692307,False
F1,RSA,30,0.0,0.0,0.0,2.0,3.3846153846153846,2.0,2.85,2,0.5346153846153845,True
F1,SHO,30,2.4333980762633285e-197,1.2898825405512023e-187,5.792193430724579e-187,4.0,3.923076923076923,4.0,3.31,3,0.6130769230769229,False
F1,GJO,30,5.688960715702074e-30,6.266083922904467e-28,8.363986154553092e-28,5.0,4.0,5.0,4.0,4,0.0,False
F2,SCHO,30,0.0,4.27114858166035e-262,2.3030842129741975e-261,3.0,2.8461538461538463,1.0,1.85,1,0.9961538461538462,True
F2,GWO,30,1.8233033066062203e-08,4.0010358529933975e-08,1.3396659196100965e-08,6.0,4.230769230769231,6.0,4.15,5,0.08076923076923048,False
F2,ALO,30,86.6686158309354,77865440439.58626,426459674382.8844,9.0,7.615384615384615,8.0,7.69,8,-0.07461538461538542,True
F2,SCA,30,0.03996834627049112,9.866726925167942,11.05312697434524,7.0,8.692307692307692,9.0,8.69,9,0.002307692307692122,True
F2,SSA,30,34.11329370860151,46.52990473805233,6.924072200512093,8.0,6.615384615384615,7.0,6.54,7,0.07538461538461494,True
F2,AOA,30,0.0,0.0,0.0,1.5,3.6923076923076925,3.0,4.77,6,-1.077692307692307,False
F2,RSA,30,0.0,0.0,0.0,1.5,3.3846153846153846,2.0,2.85,2,0.5346153846153845,True
F2,SHO,30,1.3073421155301133e-106,2.279330188570466e-102,4.354363938904542e-102,4.0,3.923076923076923,4.0,3.31,3,0.6130769230769229,False
F2,GJO,30,1.800806863352947e-18,1.1170295761187682e-17,6.889725647314112e-18,5.0,4.0,5.0,4.0,4,0.0,False
F3,SCHO,30,0.0,0.0,0.0,2.0,2.8461538461538463,1.0,1.85,1,0.9961538461538462,True
F3,GWO,30,61.207484283934676,667.128040266677,612.2244501487367,6.0,4.230769230769231,6.0,4.15,5,0.08076923076923048,False
F3,ALO,30,32661.11561892,73597.45483223615,29353.75839855415,8.0,7.615384615384615,8.0,7.69,8,-0.07461538461538542,True
F3,SCA,30,151339.2888528072,240336.59025749654,60525.28269780006,9.0,8.692307692307692,9.0,8.69,9,0.002307692307692122,True
F3,SSA,30,19142.46407600179,56382.99462824964,23039.878873190664,7.0,6.615384615384615,7.0,6.54,7,0.07538461538461494,True
F3,AOA,30,0.0,0.0,0.0,2.0,3.6923076923076925,3.0,4.77,6,-1.077692307692307,False
F3,RSA,30,0.0,0.0,0.0,2.0,3.3846153846153846,2.0,2.85,2,0.5346153846153845,True
F3,SHO,30,2.240296614299302e-157,1.1616317550587516e-140,6.23465477390459e-140,4.0,3.923076923076923,4.0,3.31,3,0.6130769230769229,False
F3,GJO,30,1.6483513613105467e-06,2.029212310246952,5.765204994313892,5.0,4.0,5.0,4.0,4,0.0,False
F4,SCHO,30,0.0,6.35646047068111e-251,3.478249342603819e-250,3.0,2.8461538461538463,1.0,1.85,1,0.9961538461538462,True
