Dimension,Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
100,GWO,F1,0.0,1.2117803970059759e-12,0.0,1.213037236468124e-12,0.0,9.63713903168267e-13,-30.0,+
100,GWO,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,4.0010358529933975e-08,0.0,3.9616367351002397e-08,-30.0,+
100,GWO,F3,0.0,1.2117803970059759e-12,0.0,667.128040266677,0.0,518.9619669838924,-30.0,+
100,GWO,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,0.8172174023939113,0.0,0.5164711743595629,-30.0,+
100,GWO,F5,900.0,3.019859359162157e-11,98.89215441081205,97.86212524231148,98.94814535317644,98.24711869379857,30.0,-
100,GWO,F6,630.0,0.007958995661045572,12.667422784802788,10.016626157221848,16.487427885504786,9.931350424680858,12.0,-
100,GWO,F7,0.0,3.019859359162157e-11,7.193890143068213e-05,0.00758977196456541,4.580303732113537e-05,0.007216285629927831,-30.0,+
100,GWO,F8,665.0,0.0015177961906131159,-14398.201548524758,-15612.245047027403,-11401.3507928121,-15849.261677036779,14.333333333333332,-
100,GWO,F9,0.0,1.2117803970059759e-12,0.0,11.385090467286032,0.0,10.180700410093023,-30.0,+
100,GWO,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,1.3280763827931233e-07,4.440892098500626e-16,1.2406716054513822e-07,-30.0,+
100,GWO,F11,0.0,1.2117803970059759e-12,0.0,0.006036731773285982,0.0,7.280842595491777e-13,-30.0,+
100,GWO,F12,720.0,6.765008246371499e-05,0.9171758559995229,0.31252446610856127,1.1222029139351561,0.297752337772594,18.0,-
100,GWO,F13,900.0,3.019859359162157e-11,9.880470448327909,6.674625117248514,9.893533745494278,6.770776120470568,30.0,-
100,ALO,F1,0.0,1.2117803970059759e-12,0.0,2490.5727979632957,0.0,2194.0069385046045,-30.0,+
100,ALO,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,77865440439.58626,0.0,309.2723948254885,-30.0,+
100,ALO,F3,0.0,1.2117803970059759e-12,0.0,73597.45483223615,0.0,63835.309579783396,-30.0,+
100,ALO,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,35.17582618612117,0.0,35.838274206507556,-30.0,+
100,ALO,F5,0.0,3.019859359162157e-11,98.89215441081205,558576.6937203675,98.94814535317644,377748.91943578486,-30.0,+
100,ALO,F6,0.0,3.019859359162157e-11,12.667422784802788,2606.988371669764,16.487427885504786,2305.027555786618,-30.0,+
100,ALO,F7,0.0,3.019859359162157e-11,7.193890143068213e-05,4.8312498313887025,4.580303732113537e-05,4.24476845805593,-30.0,+
100,ALO,F8,750.0,2.2081125829035794e-06,-14398.201548524758,-18058.91585313918,-11401.3507928121,-18058.915853139177,20.0,-
100,ALO,F9,0.0,1.2117803970059759e-12,0.0,294.8906064817317,0.0,286.79357804020503,-30.0,+
100,ALO,F10,0.0,1.2117803970059759e-12,4.440892098500626e-16,14.572350183806574,4.440892098500626e-16,14.62983043270159,-30.0,+
100,ALO,F11,0.0,1.2117803970059759e-12,0.0,23.518562469404447,0.0,21.219646389592192,-30.0,+
100,ALO,F12,0.0,3.019859359162157e-11,0.9171758559995229,610.434732793841,1.1222029139351561,191.53495966305942,-30.0,+
100,ALO,F13,0.0,3.019859359162157e-11,9.880470448327909,155697.49291820131,9.893533745494278,88446.84883606387,-30.0,+
100,SCA,F1,0.0,1.2117803970059759e-12,0.0,10546.076221733798,0.0,9091.371184042935,-30.0,+
100,SCA,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,9.866726925167942,0.0,6.492748695950655,-30.0,+
