Function,Family,Optimum,GWO_Best,GWO_Mean,GWO_Std_population,GWO_Worst,SCHO_Best,SCHO_Mean,SCHO_Std_population,SCHO_Worst,Strict_Mean_Winner,Practical_Mean_Winner_tol_1e-12,Practical_Stability_Winner_tol_1e-12,Practical_Best_Winner_tol_1e-12,SCHO_Mean_minus_GWO_Mean
F1,Unimodal (F1-F7),0.0,4.779837549451538e-29,9.805881514239521e-28,1.797417743653428e-27,8.502161363171172e-27,0.0,0.0,0.0,0.0,SCHO,Tie,Tie,Tie,-9.805881514239521e-28
F2,Unimodal (F1-F7),0.0,2.806175823337793e-17,9.098967002935348e-17,8.237993868710295e-17,4.925703688669989e-16,0.0,0.0,0.0,0.0,SCHO,Tie,Tie,Tie,-9.098967002935348e-17
F3,Unimodal (F1-F7),0.0,2.4506868302042446e-08,1.6310056824034777e-05,3.346187973760475e-05,0.000138154121388714,0.0,0.0,0.0,0.0,SCHO,SCHO,SCHO,SCHO,-1.6310056824034777e-05
F4,Unimodal (F1-F7),0.0,6.111312276191063e-08,6.13287698035774e-07,6.519191907648904e-07,2.9582642596092998e-06,0.0,0.0,0.0,0.0,SCHO,SCHO,SCHO,SCHO,-6.13287698035774e-07
F5,Unimodal (F1-F7),0.0,25.757382486116324,26.897595543384316,0.7560628408489872,28.74889843265107,26.056079496446586,28.28397508632145,0.7050211417046628,28.98419468962295,GWO,GWO,SCHO,GWO,1.386379542937135
F6,Unimodal (F1-F7),0.0,0.00010423191477717052,0.660144056030857,0.35956691447636413,1.500636863869796,9.254089880824617e-06,0.30580962071749707,0.7004031820210196,2.7956258237024305,SCHO,SCHO,GWO,SCHO,-0.35433443531335995
F7,Unimodal (F1-F7),0.0,0.000476496948,0.0019566501,0.00125634232,0.00672377101,2.3267848703323324e-07,9.296643831213277e-05,9.383587812431969e-05,0.00034155375686639733,SCHO,SCHO,SCHO,SCHO,-0.0018636836616878671
F8,Multimodal (F8-F13),-12569.487,-7424.167106642665,-5798.071281670803,689.4924161999708,-4175.179704033309,-12569.042163397447,-7330.6879735550465,2689.4841548589206,-4098.901904184803,SCHO,SCHO,GWO,SCHO,-1532.6166918842437
F9,Multimodal (F8-F13),0.0,0.0,3.2791628819010947,3.8671176064871005,15.281385123171463,0.0,0.0,0.0,0.0,SCHO,SCHO,SCHO,Tie,-3.2791628819010947
F10,Multimodal (F8-F13),0.0,6.794564910705958e-14,1.0063061495202419e-13,1.6924246973293907e-14,1.354472090042691e-13,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,SCHO,Tie,Tie,Tie,-1.0018652574217412e-13
F11,Multimodal (F8-F13),0.0,0.0,0.002842732105494498,0.006802862393861884,0.025658328511727557,0.0,0.0,0.0,0.0,SCHO,SCHO,SCHO,Tie,-0.002842732105494498
F12,Multimodal (F8-F13),0.0,0.017366526754018105,0.04737360661521252,0.018195471340450457,0.09250887343886105,2.4508597262262492e-09,0.27797407424104503,0.44981563672962804,1.602113482030724,GWO,GWO,GWO,SCHO,0.23060046762583253
F13,Multimodal (F8-F13),0.0,0.20411585593748885,0.5791880166109363,0.21155849072084948,0.954532902667668,1.427470895374975e-07,1.349836846029414,0.984169319994523,2.914760975937687,GWO,GWO,GWO,SCHO,0.7706488294184776
F14,Fixed-dim multimodal (F14-F23),1.0,0.9980038377957854,4.487022111380957,4.338164471188403,12.670505811135914,0.9980038377956877,3.5386512291585395,4.175403209944142,12.670505811135914,SCHO,SCHO,SCHO,Tie,-0.9483708822224179
F15,Fixed-dim multimodal (F14-F23),0.0003,0.0003088560933697006,0.003859943730096754,0.007387700080236517,0.020363343964893154,0.0003077648582130732,0.000327086928171355,1.775077945949008e-05,0.0003771212160948164,SCHO,SCHO,SCHO,SCHO,-0.003532856801925399
F16,Fixed-dim multimodal (F14-F23),-1.0316,-1.0316284520708647,-1.0316284299468077,2.252542583158205e-08,-1.0316283689673846,-1.0316284528078135,-1.0316284300630985,2.3698862741283347e-08,-1.0316283570820304,SCHO,SCHO,GWO,SCHO,-1.1629075480357187e-10
F17,Fixed-dim multimodal (F14-F23),0.397887,0.39788740880273465,0.39794749290321907,0.000311455840370881,0.39962466250287143,0.39788743113709835,0.3978903317325324,2.929208186318329e-06,0.39789845819345615,SCHO,SCHO,SCHO,GWO,-5.716117068665927e-05
F18,Fixed-dim multimodal (F14-F23),3.0,3.0000002147529057,3.000021238395611,2.3201231338859114e-05,3.0000962894815966,3.0000000138307645,7.581967229943165,15.323085785965587,84.00012105996721,GWO,GWO,GWO,SCHO,4.5819459915475536
F19,Fixed-dim multimodal (F14-F23),-3.8628,-3.8627791816728667,-3.8606796114968946,0.0030015615438440772,-3.854901256777379,-3.8627797611179417,-3.8618902001976454,0.0023286418414166163,-3.8549007510179267,SCHO,SCHO,SCHO,SCHO,-0.0012105887007507476
F20,Fixed-dim multimodal (F14-F23),-3.322,-3.3223660288345034,-3.2740174885077735,0.06678632632467942,-3.083157757994308,-3.3221333126080093,-3.268115527450003,0.07576970539141537,-3.0768526050382383,GWO,GWO,GWO,GWO,0.005901961057770411
F21,Fixed-dim multimodal (F14-F23),-10.1532,-10.152642355649999,-9.814392267919146,1.2604656589206618,-5.097899122988528,-10.1531965737984,-8.796057576788062,2.2414945198813236,-5.05514902826489,GWO,GWO,GWO,SCHO,1.0183346911310842
F22,Fixed-dim multimodal (F14-F23),-10.4028,-10.40244261859603,-10.40108978793703,0.0008553492834052535,-10.398998193203063,-10.402842392845315,-9.33642620256563,2.1172064114217655,-5.087660083802324,GWO,GWO,GWO,SCHO,1.0646635853714006
F23,Fixed-dim multimodal (F14-F23),-10.5363,-10.535983397845063,-10.53452647265656,0.0012435245755791082,-10.53080155616459,-10.53626654051532,-9.125356316648064,2.597068927028845,-2.869743421841286,GWO,GWO,GWO,SCHO,1.4091701560084964
