Variant,Function,Runs,Dimension,Best,Average,STD_sample_ddof1,Median,Worst
V1,F1,30,30,0.0,0.0,0.0,0.0,0.0
V1,F2,30,30,0.0,0.0,0.0,0.0,0.0
V1,F3,30,30,0.0,0.0,0.0,0.0,0.0
V1,F4,30,30,0.0,3.4194e-320,0.0,0.0,1.02576e-318
V1,F5,30,30,26.056079496446582,28.234617631221973,0.7117910552962559,28.40785189688568,28.971878251216225
V1,F6,30,30,0.0004023862139803313,0.32213913795618065,0.7072244039595277,0.07143995803291016,2.795625823702431
V1,F7,30,30,4.9591094465339935e-06,0.00011649339951263803,0.00011577558941249052,7.64884346743561e-05,0.00057313278933524
V1,F8,30,30,-12532.351636176289,-7021.6364071526705,2538.3055653979573,-5898.329298900822,-4098.901904184803
V1,F9,30,30,0.0,0.0,0.0,0.0,0.0
V1,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V1,F11,30,30,0.0,0.0,0.0,0.0,0.0
V1,F12,30,30,1.0893171623885523e-06,0.22647912280330404,0.3918957719711998,2.212435445272183e-06,1.525194696394407
V1,F13,30,30,2.095767526421654e-05,1.3497678113430103,0.979902140339993,1.754456702524152,2.8105098435778704
V1,F14,30,2,0.9980038377944538,3.5386512291671566,4.24678279434072,0.9980038389900019,12.670505811135913
V1,F15,30,4,0.00030775220590381635,0.007046251806695478,0.00967513665728882,0.0003272346795103563,0.020942774987845626
V1,F16,30,2,-1.031628453488487,-1.0316284493030368,7.941642963581626e-09,-1.031628452964427,-1.0316284213695006
V1,F17,30,2,0.39788735774666506,0.3978877151897233,7.191709751691334e-07,0.39788739001227214,0.3978902380107314
V1,F18,30,2,2.999999999999957,3.0920064457910423,0.5039400579355148,3.0000000000000657,5.760193373621212
V1,F19,30,3,-3.862779761117942,-3.862385492884796,0.0014854188225221663,-3.862775876068781,-3.8549011671494178
V1,F20,30,6,-3.3221333126080097,-3.2681155933958337,0.07706505557815,-3.3216179417445657,-3.0768526050382383
V1,F21,30,4,-10.15313919018142,-8.79481375604857,2.279560413182573,-10.145873146933774,-5.055044247968278
V1,F22,30,4,-10.402803931029322,-9.336559216322572,2.1534833380761587,-10.393700677035739,-5.0874873356798975
V1,F23,30,4,-10.536220988625486,-9.046071936404433,2.7880693095538973,-10.52404714960485,-2.869178689893598
V2,F1,30,30,0.0,0.0,0.0,0.0,0.0
V2,F2,30,30,0.0,0.0,0.0,0.0,0.0
V2,F3,30,30,0.0,0.0,0.0,0.0,0.0
V2,F4,30,30,0.0,0.0,0.0,0.0,0.0
V2,F5,30,30,26.056079496446582,28.29529600540076,0.7263106488535223,28.64996281544036,28.990130822146778
V2,F6,30,30,0.00012593776912437938,0.31653171591261337,0.7083398465210119,0.062092477398130445,2.795625823702431
V2,F7,30,30,4.9591094465339935e-06,0.00011485532243249342,0.00011401812617419603,7.6488519281311e-05,0.00057313278933524
V2,F8,30,30,-12423.428883551725,-6949.4349598373365,2514.9161097227857,-5836.71586017858,-4098.901904184803
V2,F9,30,30,0.0,0.0,0.0,0.0,0.0
V2,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V2,F11,30,30,0.0,0.0,0.0,0.0,0.0
V2,F12,30,30,1.245067185431487e-06,0.22904251642176598,0.40083274147305115,2.3434353542012737e-06,1.602093138890114
V2,F13,30,30,1.8938487910915707e-05,1.3433834070562176,1.009296289229653,1.754456702524152,2.9512943269841134
V2,F14,30,2,0.9980038377947413,3.5386512292904606,4.246782794264811,0.9980038398400549,12.670505811135914
V2,F15,30,4,0.0003077648582130735,0.008951171875683157,0.013129932855182979,0.0004345958040775594,0.056553626559327975
V2,F16,30,2,-1.0316284528078135,-1.0316284300630985,2.410400086745882e-08,-1.0316284384435515,-1.0316283570820304
V2,F17,30,2,0.39788743113709835,0.39789035274202955,2.959685631071994e-06,0.39788944539483406,0.39789845819345615
V2,F18,30,2,3.0000000138307645,8.144435524388488,15.731309539903014,3.0000023596126235,84.00012105996748
V2,F19,30,3,-3.862779761117942,-3.861890200197645,0.002368450568503489,-3.8627731630460733,-3.8549007510179267
V2,F20,30,6,-3.3221333126080097,-3.268115527450003,0.07706500785902952,-3.3216179417445657,-3.0768526050382383
V2,F21,30,4,-10.15282921469298,-8.790073878223051,2.2775002777092683,-10.135093405217603,-5.0550088542093565
V2,F22,30,4,-10.402832869465874,-9.333861305909684,2.1530667469097504,-10.389762989324343,-5.0873414832050035
V2,F23,30,4,-10.536219242838177,-9.119532439541844,2.639949656012452,-10.52301491072171,-2.8683744170076864
V3,F1,30,30,0.0,0.0,0.0,0.0,0.0
V3,F2,30,30,0.0,0.0,0.0,0.0,0.0
V3,F3,30,30,0.0,0.0,0.0,0.0,0.0
V3,F4,30,30,0.0,9.4e-323,0.0,0.0,2.836e-321
V3,F5,30,30,26.056079496446582,28.28395310155917,0.7170564079167147,28.64996281544036,28.984018488743306
V3,F6,30,30,1.0947997277871994e-05,0.3037356300704194,0.7127639557068518,0.033213257582081976,2.795625823702431
V3,F7,30,30,4.9591094465339935e-06,0.00011541545651241326,0.00011387453919334529,7.908190161015627e-05,0.00057313278933524
V3,F8,30,30,-12569.485317222236,-7350.326871752662,2743.567313121094,-5919.514278168006,-4098.901904184803
V3,F9,30,30,0.0,0.0,0.0,0.0,0.0
V3,F10,30,30,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16
V3,F11,30,30,0.0,0.0,0.0,0.0,0.0
V3,F12,30,30,1.6966193906085324e-09,0.27797414750903826,0.4575052914579012,1.5482337396775136e-06,1.6021133791166757
V3,F13,30,30,4.844807247761654e-13,1.354655846628311,1.0011263149458258,1.754456702524152,2.90508262294239
V3,F14,30,2,0.9980038378001199,3.9277346284090364,4.531171962045182,1.9900544985401107,12.670505811135914
V3,F15,30,4,0.0003077648582130735,0.000326629332348291,2.4855517637073523e-05,0.00031682138533486916,0.0004322047726485062
