Function,Our_Mean,Paper_Mean,Mean_Difference,Abs_Mean_Difference,Mean_Relative_Error_pct,Our_Std,Paper_Std_As_Printed,Std_Difference,Abs_Std_Difference,Best,Worst,Theoretical_Optimum,Paper_Table,Paper_Std_Status
F1,9.805881514239521e-28,6.59e-28,3.2158815142395216e-28,3.2158815142395216e-28,48.79941599756482,1.797417743653428e-27,6.34e-05,-6.34e-05,6.34e-05,4.779837549451538e-29,8.502161363171172e-27,0.0,Table 5,OK as printed
F2,9.098967002935348e-17,7.18e-17,1.9189670029353472e-17,1.9189670029353472e-17,26.726559929461658,8.237993868710295e-17,0.029014,-0.02901399999999992,0.02901399999999992,2.806175823337793e-17,4.925703688669989e-16,0.0,Table 5,OK as printed
F3,1.6310056824034777e-05,3.29e-06,1.3020056824034777e-05,1.3020056824034777e-05,395.74640802537317,3.346187973760475e-05,79.14958,-79.14954653812026,79.14954653812026,2.4506868302042446e-08,0.000138154121388714,0.0,Table 5,OK as printed
F4,6.13287698035774e-07,5.61e-07,5.2287698035773974e-08,5.2287698035773974e-08,9.320445282669157,6.519191907648904e-07,1.315088,-1.3150873480808092,1.3150873480808092,6.111312276191063e-08,2.9582642596092998e-06,0.0,Table 5,OK as printed
F5,26.897595543384316,26.81258,0.0850155433843156,0.0850155433843156,0.31707334163409717,0.7560628408489872,69.90499,-69.14892715915101,69.14892715915101,25.757382486116324,28.74889843265107,0.0,Table 5,OK as printed
F6,0.660144056030857,0.816579,-0.15643494396914304,0.15643494396914304,19.157355745021977,0.35956691447636413,0.000126,0.3594409144763641,0.3594409144763641,0.00010423191477717052,1.500636863869796,0.0,Table 5,OK as printed
F7,0.002198866405043812,0.002213,-1.413359495618799e-05,1.413359495618799e-05,0.638662221246633,0.0010385420076986748,0.100286,-0.09924745799230132,0.09924745799230132,0.0007899069430191537,0.004267607811247649,0.0,Table 5,OK as printed
F8,-5798.071281670803,-6123.1,325.02871832919755,325.02871832919755,5.308237956740826,689.4924161999708,-4087.44,,,-7424.167106642665,-4175.179704033309,-12569.487,Table 6,"Paper prints a negative Std; retain raw value, do not use for Std error"
F9,3.2791628819010947,0.310521,2.9686418819010947,2.9686418819010947,956.0196836610389,3.8671176064871005,47.35612,-43.4890023935129,43.4890023935129,0.0,15.281385123171463,0.0,Table 6,OK as printed
F10,1.0063061495202419e-13,1.06e-13,-5.3693850479758164e-15,5.3693850479758164e-15,5.065457592430015,1.6924246973293907e-14,0.077835,-0.07783499999998307,0.07783499999998307,6.794564910705958e-14,1.354472090042691e-13,0.0,Table 6,OK as printed
F11,0.002842732105494498,0.004485,-0.0016422678945055024,0.0016422678945055024,36.616898428216324,0.006802862393861884,0.006659,0.0001438623938618839,0.0001438623938618839,0.0,0.025658328511727557,0.0,Table 6,OK as printed
F12,0.04737360661521252,0.053438,-0.006064393384787481,0.006064393384787481,11.348466231497213,0.018195471340450457,0.020734,-0.0025385286595495417,0.0025385286595495417,0.017366526754018105,0.09250887343886105,0.0,Table 6,OK as printed
F13,0.5791880166109363,0.654464,-0.07527598338906372,0.07527598338906372,11.501928813359285,0.21155849072084948,0.004474,0.20708449072084947,0.20708449072084947,0.20411585593748885,0.954532902667668,0.0,Table 6,OK as printed
F14,4.487022111380957,4.042493,0.4445291113809571,0.4445291113809571,10.996410170183523,4.338164471188403,4.252799,0.08536547118840243,0.08536547118840243,0.9980038377957854,12.670505811135914,1.0,Table 7,OK as printed
F15,0.003859943730096754,0.000337,0.003522943730096754,0.003522943730096754,1045.3838961711438,0.007387700080236517,0.000625,0.006762700080236517,0.006762700080236517,0.0003088560933697006,0.020363343964893154,0.0003,Table 7,OK as printed
F16,-1.0316284299468077,-1.03163,1.5700531923457106e-06,1.5700531923457106e-06,0.00015219150202550435,2.252542583158205e-08,-1.03163,,,-1.0316284520708647,-1.0316283689673846,-1.0316,Table 7,Table 7 GWO Std entry appears inconsistent; retain raw printed value
