Dimension,Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average
500,F6,SHO,30,121.67041122329428,123.10467487913452,0.5544402553205589,3.0
500,F6,GJO,30,107.77496314052307,109.93305038648728,1.0918010880886253,2.0
500,F7,SCHO,30,1.060784867390474e-06,0.0001003646547365844,9.740103185032622e-05,3.0
500,F7,GWO,30,0.026175904816216976,0.04938305316860315,0.014177327585969422,6.0
500,F7,ALO,30,439.2532948864843,810.685369298219,275.12359220479885,8.0
500,F7,SCA,30,6491.388854997257,16179.125915938279,3822.276823006536,9.0
500,F7,SSA,30,170.1770918436452,277.0761519557335,45.71109611953058,7.0
500,F7,AOA,30,1.060784867390474e-06,6.568538857855133e-05,5.91676023076723e-05,2.0
500,F7,RSA,30,2.789022729543511e-06,0.00014892484622021455,0.0001454400651114521,4.0
500,F7,SHO,30,1.5301923434029914e-06,5.93884229750523e-05,6.265701623950538e-05,1.0
500,F7,GJO,30,0.0006623348665659298,0.006142457889771119,0.0035496613539047865,5.0
500,F8,SCHO,30,-209344.00219002328,-45451.968372688476,38066.41944215938,5.0
500,F8,GWO,30,-65269.49203062741,-58564.10226201513,3711.8632968247503,4.0
500,F8,ALO,30,-90294.57926569588,-90294.57926569591,0.0,1.0
500,F8,SCA,30,-20109.69770547856,-15691.8499306715,1615.5564372090957,7.0
500,F8,SSA,30,-68938.4781282614,-59922.35159904839,4773.41426670748,3.0
500,F8,AOA,30,-16875.168611093446,-12801.225580327067,1856.4563456322242,8.0
500,F8,RSA,30,-74029.94938066842,-65169.5882492737,6423.494514528293,2.0
500,F8,SHO,30,-16013.009981839103,-12291.270299880734,1657.907441948256,9.0
500,F8,GJO,30,-51703.15084434804,-30737.95903360857,14233.246861366393,6.0
500,F9,SCHO,30,0.0,0.0,0.0,2.5
500,F9,GWO,30,31.344268126640586,72.32372226171533,23.790091890044643,6.0
500,F9,ALO,30,3045.9427748766934,3332.4134793678077,205.89975395175793,9.0
500,F9,SCA,30,510.88602910331286,1038.4112237603777,363.35032607388285,7.0
500,F9,SSA,30,2881.164291972425,3142.232402498002,136.1362284759622,8.0
500,F9,AOA,30,0.0,0.0,0.0,2.5
500,F9,RSA,30,0.0,0.0,0.0,2.5
500,F9,SHO,30,0.0,0.0,0.0,2.5
500,F9,GJO,30,3.907985046680551e-14,3.758178953224463e-13,4.822921755304512e-13,5.0
500,F10,SCHO,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
500,F10,GWO,30,0.001420768440298037,0.0018957446332639627,0.0002695748722109818,6.0
500,F10,ALO,30,15.746900190202538,17.189248134729905,0.6648726654861925,8.0
500,F10,SCA,30,11.188118262585629,20.213305811520865,2.171497070158632,9.0
500,F10,SSA,30,13.501007294888632,14.198770917222959,0.2530405655757002,7.0
500,F10,AOA,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
500,F10,RSA,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
500,F10,SHO,30,4.440892098500626e-16,9.177843670234628e-16,1.228336201257322e-15,4.0
500,F10,GJO,30,1.4057417008217499e-08,3.387386534233391e-08,1.862315037448904e-08,5.0
500,F11,SCHO,30,0.0,0.0,0.0,2.5
500,F11,GWO,30,0.00010118836078032434,0.012937014766573444,0.0331292057197179,6.0
500,F11,ALO,30,1047.2222830583614,1549.92234364951,364.97000468875234,8.0
500,F11,SCA,30,1033.2654579508821,1928.4276900459931,545.3323569324855,9.0
500,F11,SSA,30,671.6931826799705,855.9088152334155,57.91954921793274,7.0
500,F11,AOA,30,0.0,0.0,0.0,2.5
500,F11,RSA,30,0.0,0.0,0.0,2.5
500,F11,SHO,30,0.0,0.0,0.0,2.5
500,F11,GJO,30,1.965094753586527e-14,1.0906460919575996e-13,9.218111771116213e-14,5.0
500,F12,SCHO,30,6.084422921266186e-06,1.1609902562284353,0.21928608813785058,4.0
500,F12,GWO,30,0.6577628173325861,0.7572261825521291,0.04572660912227081,1.0
500,F12,ALO,30,5296422.613020826,21815032.239923656,15704580.551775623,8.0
500,F12,SCA,30,3292998777.4961734,5854400306.168278,1155839575.0842369,9.0
500,F12,SSA,30,432207.65798147954,1546503.2083826847,985823.0451216673,7.0
500,F12,AOA,30,1.203234692675611,1.2072995122948669,0.000963422494882777,5.0
500,F12,RSA,30,1.2075496762235767,1.2075496762235767,0.0,6.0
500,F12,SHO,30,1.1255441921779303,1.1574657870761869,0.010969587940854536,3.0
500,F12,GJO,30,0.8713012414444541,0.9226163377727604,0.024179193988303684,2.0
500,F13,SCHO,30,49.69265013176104,49.876346450241044,0.04627043976658472,2.0
500,F13,GWO,30,48.66790904484006,50.97907151806198,1.4273679559691381,6.0
500,F13,ALO,30,49112041.49991549,198165471.95917815,93655521.81216045,8.0
500,F13,SCA,30,5461935716.031955,9460855819.871563,1892797684.6517,9.0
500,F13,SSA,30,21747915.461440545,38067171.739716314,7965658.066283453,7.0
500,F13,AOA,30,49.95366768256563,49.99845558941885,0.008459085133431838,4.0
500,F13,RSA,30,50.0,50.0,0.0,5.0
500,F13,SHO,30,49.971990064874475,49.99140118725824,0.00423259197318617,3.0
500,F13,GJO,30,47.51504368177328,48.031523184119074,0.28153981120786326,1.0
