Function,Dimension,Population,MaxIter,OptimizerSeed,ObjectiveSeed,FinalBest,Optimum,PhaseSwitchT,InitialBS,TotalRedistributions,StrictBestImprovements,PostSwitchBestImprovements,AverageFitnessAtSwitch,SwitchTransientRatioDiagnostic
F2,30,30,500,1000,2024002,0.0,0.0,138,322,570,263,126,0.00040612684122956456,1.0025164251633916
F7,30,30,500,1000,2024007,0.00018841019482329635,0.0,138,322,570,40,4,0.4883510111470405,27.536369195605662
F9,30,30,500,1000,2024009,0.0,0.0,138,322,570,63,7,25.74268811921003,3.200948169036661
F10,30,30,500,1000,2024010,4.440892098500626e-16,0.0,138,322,570,146,10,0.002295120726256498,3.3809228703365783
F11,30,30,500,1000,2024011,0.0,0.0,138,322,570,143,6,7.528306994032026e-05,10.883124017818362
F15,4,30,500,1000,2024015,0.00031109030961344315,0.0003,138,322,570,46,4,0.0014513335171742524,89956.72252911009
F21,4,30,500,1000,2024021,-10.15181388097951,-10.1532,138,322,570,21,3,-5.601874137349325,nan
