Function,Runs,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Worst,Optimum,MeanGap
F1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,30,26.056079496446586,28.28397508632145,0.7170736582065113,0.7050211417046628,28.98419468962295,0.0,28.28397508632145
F6,30,9.254089880824617e-06,0.30580962071749707,0.712376753322505,0.7004031820210196,2.7956258237024305,0.0,0.30580962071749707
F7,30,2.3267848703323324e-07,9.296643831213277e-05,9.544002642946735e-05,9.383587812431969e-05,0.00034155375686639733,0.0,9.296643831213277e-05
F8,30,-12569.042163397447,-7330.6879735550465,2735.461573464441,2689.4841548589206,-4098.901904184803,-12569.487,5238.799026444953
F9,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,30,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16
F11,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,30,2.4508597262262492e-09,0.27797407424104503,0.45750534993647596,0.44981563672962804,1.602113482030724,0.0,0.27797407424104503
F13,30,1.427470895374975e-07,1.349836846029414,1.0009939459073949,0.984169319994523,2.914760975937687,0.0,1.349836846029414
F14,30,0.9980038377956877,3.5386512291585395,4.246782794346455,4.175403209944142,12.670505811135914,1.0,2.5386512291585395
F15,30,0.0003077648582130732,0.000327086928171355,1.8054233568453238e-05,1.775077945949008e-05,0.0003771212160948164,0.0003,2.7086928171355046e-05
F16,30,-1.0316284528078135,-1.0316284300630985,2.4104000853274904e-08,2.3698862741283347e-08,-1.0316283570820304,-1.0316,-2.8430063098383584e-05
F17,30,0.39788743113709835,0.3978903317325324,2.9792837484746484e-06,2.929208186318329e-06,0.39789845819345615,0.397887,3.3317325324189184e-06
F18,30,3.0000000138307645,7.581967229943165,15.585037851471096,15.323085785965587,84.00012105996721,3.0,4.581967229943165
F19,30,-3.8627797611179417,-3.8618902001976454,0.0023684505685034494,0.0023286418414166163,-3.8549007510179267,-3.8628,0.0009097998023546161
F20,30,-3.3221333126080093,-3.268115527450003,0.07706500785902956,0.07576970539141537,-3.0768526050382383,-3.322,0.05388447254999695
F21,30,-10.1531965737984,-8.796057576788062,2.2798134412463646,2.2414945198813236,-5.05514902826489,-10.1532,1.357142423211938
F22,30,-10.402842392845315,-9.33642620256563,2.1534005958256275,2.1172064114217655,-5.087660083802324,-10.4028,1.0663737974343697
F23,30,-10.53626654051532,-9.125356316648064,2.641466483708876,2.597068927028845,-2.869743421841286,-10.5363,1.4109436833519364
