Variant,ReproMeanRank,PaperMeanRank,MeanRankDelta,AbsMeanRankDelta,ReproFinalRank,PaperFinalRank,FinalRankMatch
SCHO,1.826086956521739,1.65,0.1760869565217391,0.1760869565217391,1,1,MATCH
SCHO_NT,3.0869565217391304,2.96,0.1269565217391304,0.1269565217391304,3,3,MATCH
SCHO_NSTF,3.1739130434782608,3.35,-0.17608695652173934,0.17608695652173934,4,4,MATCH
SCHO_NFTF,4.565217391304348,4.52,0.0452173913043481,0.0452173913043481,6,6,MATCH
SCHO_NSF,2.260869565217391,2.13,0.13086956521739124,0.13086956521739124,2,2,MATCH
SCHO_NFF,3.5652173913043477,3.35,0.21521739130434758,0.21521739130434758,5,4,DIFF
