Function,Our_Mean,Paper_Mean,Our_Std,Best,Worst,Theoretical_Optimum,Mean_Abs_Diff,Run_Spread,Assessment
F1,9.80588151423952e-28,6.59e-28,1.797417743653428e-27,4.779837549451538e-29,8.502161363171172e-27,0.0,3.2158815142395198e-28,8.454362987676657e-27,Highly consistent
F2,9.098967002935348e-17,7.18e-17,8.237993868710294e-17,2.806175823337793e-17,4.925703688669989e-16,0.0,1.9189670029353472e-17,4.6450861063362095e-16,Highly consistent
F3,1.6310056824034777e-05,3.29e-06,3.346187973760475e-05,2.450686830204245e-08,0.0001381541213887,0.0,1.3020056824034777e-05,0.00013812961452039794,Trend consistent / quantitative difference
F4,6.13287698035774e-07,5.61e-07,6.519191907648904e-07,6.111312276191064e-08,2.9582642596093e-06,0.0,5.2287698035773974e-08,2.8971511368473897e-06,Highly consistent
F5,26.89759554338432,26.81258,0.7560628408489872,25.757382486116324,28.74889843265107,0.0,0.08501554338431916,2.991515946534747,Highly consistent
F6,0.660144056030857,0.816579,0.3595669144763641,0.0001042319147771,1.500636863869796,0.0,0.15643494396914304,1.500532631955019,Trend consistent / quantitative difference
F7,0.0021988664050438,0.002213,0.0010385420076986,0.0007899069430191,0.0042676078112476,0.0,1.4133594956200132e-05,0.0034777008682284997,Highly consistent
F8,-5798.071281670803,-6123.1,689.4924161999708,-7424.167106642665,-4175.179704033309,-12569.487,325.02871832919755,3248.9874026093566,Trend consistent / quantitative difference
F9,3.2791628819010947,0.310521,3.867117606487101,0.0,15.281385123171464,0.0,2.9686418819010947,15.281385123171464,Notable deviation
F10,1.0063061495202421e-13,1.06e-13,1.6924246973293907e-14,6.794564910705958e-14,1.354472090042691e-13,0.0,5.369385047975791e-15,6.750155989720952e-14,Highly consistent
F11,0.0028427321054944,0.004485,0.0068028623938618,0.0,0.0256583285117275,0.0,0.0016422678945056004,0.0256583285117275,Trend consistent / quantitative difference
F12,0.0473736066152125,0.053438,0.0181954713404504,0.0173665267540181,0.092508873438861,0.0,0.006064393384787502,0.07514234668484289,Trend consistent / quantitative difference
F13,0.5791880166109363,0.654464,0.2115584907208494,0.2041158559374888,0.954532902667668,0.0,0.07527598338906372,0.7504170467301792,Trend consistent / quantitative difference
F14,4.487022111380957,4.042493,4.338164471188403,0.9980038377957854,12.670505811135914,1.0,0.4445291113809571,11.672501973340129,Trend consistent / quantitative difference
F15,0.0038599437300967,0.000337,0.0073877000802365,0.0003088560933697,0.0203633439648931,0.0003,0.0035229437300967,0.020054487871523398,Notable deviation
F16,-1.0316284299468077,-1.03163,2.2525425831582052e-08,-1.0316284520708647,-1.0316283689673846,-1.0316,1.5700531923457106e-06,8.310348009743507e-08,Highly consistent
F17,0.397947492903219,0.397889,0.0003114558403708,0.3978874088027346,0.3996246625028714,0.397887,5.8492903219020675e-05,0.001737253700136776,Highly consistent
F18,3.000021238395611,3.000028,2.3201231338859117e-05,3.0000002147529057,3.000096289481597,3.0,6.761604388838549e-06,9.607472869133105e-05,Highly consistent
F19,-3.860679611496895,-3.86263,0.003001561543844,-3.8627791816728663,-3.854901256777379,-3.8628,0.0019503885031046941,0.007877924895487443,Highly consistent
F20,-3.274017488507773,-3.28654,0.0667863263246794,-3.3223660288345034,-3.083157757994308,-3.322,0.01252251149222694,0.23920827084019525,Highly consistent
F21,-9.814392267919146,-10.1514,1.2604656589206618,-10.15264235565,-5.097899122988528,-10.1532,0.33700773208085444,5.0547432326614725,Trend consistent / quantitative difference
F22,-10.40108978793703,-10.4015,0.0008553492834052,-10.40244261859603,-10.398998193203065,-10.4028,0.00041021206297031654,0.0034444253929653,Highly consistent
F23,-10.53452647265656,-10.5343,0.0012435245755791,-10.535983397845063,-10.53080155616459,-10.5363,0.00022647265656061677,0.005181841680473198,Highly consistent
