problem,problem_name,paired_seeds,both_feasible,gwo_only_feasible,scho_only_feasible,neither_feasible,structural_or_missing,both_feasible_seeds,gwo_only_seeds,scho_only_seeds,neither_feasible_seeds,structural_or_missing_seeds
spring,Tension/compression spring,30,26,0,4,0,0,1000;1002;1003;1004;1005;1006;1007;1008;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1025;1026;1027;1029,,1001;1009;1024;1028,,
pressure_vessel,Pressure vessel,30,30,0,0,0,0,1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029,,,,
welded_beam,Welded beam,30,10,8,9,3,0,1001;1005;1007;1010;1015;1017;1019;1022;1024;1029,1000;1002;1014;1016;1018;1021;1023;1028,1003;1006;1009;1011;1012;1013;1025;1026;1027,1004;1008;1020,
speed_reducer,Speed reducer,30,0,1,14,15,0,,1004,1002;1003;1006;1009;1012;1015;1017;1020;1021;1022;1023;1025;1028;1029,1000;1001;1005;1007;1008;1010;1011;1013;1014;1016;1018;1019;1024;1026;1027,
cantilever_printed,Cantilever beam (paper-printed objective),30,30,0,0,0,0,1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029,,,,
three_bar_truss,Three-bar truss,30,30,0,0,0,0,1000;1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020;1021;1022;1023;1024;1025;1026;1027;1028;1029,,,,
