Function,Canonical,Variant,Runs,Population,MaxIter,Dimension,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Worst,PaperMean,PaperStd,MeanGap,MeanAbsGap,MeanRatio_repro_over_paper,StdRatio_repro_over_paper
F24,CF1,source_faithful,30,30,500,10,0.4716025785143242,106.31772146999717,100.42237494726804,98.73448372806753,312.3969586436302,43.83544,69.86146,62.48228146999717,62.48228146999717,2.4253827832000128,1.4374502758354613
F25,CF2,source_faithful,30,30,500,10,15.432581936413255,163.08108210506,86.81494187305773,85.35576329696967,444.62425578927946,91.80086,95.5518,71.28022210506,71.28022210506,1.776465733600535,0.9085641701470588
F26,CF3,source_faithful,30,30,500,10,113.10790306769823,221.9662581275752,108.93687001290046,107.1058678439265,667.4796640880093,61.43776,68.68816,160.5284981275752,160.5284981275752,3.6128637848706595,1.5859628502627012
F27,CF4,source_faithful,30,30,500,10,234.5502228924965,395.2386120960325,138.19110722438603,135.8684021840191,735.3147497749295,123.1235,163.9937,272.1151120960325,272.1151120960325,3.2100989014772363,0.8426610731045524
F28,CF5,source_faithful,30,30,500,10,1.6821073861644513,100.66485583930762,140.13177760104858,137.77645392872984,515.9221051319934,102.1429,81.25536,-1.4780441606923773,1.4780441606923773,0.9855296436591052,1.7245850316957378
F29,CF6,source_faithful,30,30,500,10,501.252994927566,847.2115720979887,138.39284473241258,136.0667489042002,907.3616225029748,43.14261,84.48573,804.0689620979887,804.0689620979887,19.63746681292552,1.6380617736558893
