Function,Family,Algorithm,Optimum,Paper_Best,Repro_Best,Paper_Mean,Repro_Mean,Paper_STD,Repro_STD_sample,Paper_Mean_Error,Repro_Mean_Error,Mean_Error_Ratio,Raw_Mean_Rel_Diff,Best_Error_Ratio,STD_Ratio,Agreement_Band,Notes
F1,Unimodal,SCHO,100.0,1127800.0,721101.3188550456,9777200.0,10495924.857032442,10876000.0,7413550.7303670375,9777100.0,10495824.857032442,1.0735110469395264,0.07351029507757256,0.6393556077458948,0.6816431344581683,Close (±25%),
F1,Unimodal,GWO,100.0,877680.0,594947.171501516,10634000.0,10145738.065932522,7455800.0,9124917.245330062,10633900.0,10145638.065932522,0.9540843966872475,0.045915171531641756,0.6778267183635862,1.223868296538274,Close (±25%),
F2,Unimodal,SCHO,200.0,1469600.0,1451841.293960168,261840000.0,617110459.188875,413190000.0,717937657.8526831,261839800.0,617110259.188875,2.356823749440975,1.3568227130647532,0.9879143146591589,1.737548483391861,Notable deviation,Mean excess-error >2× paper.
F2,Unimodal,GWO,200.0,13200.0,5726.570662994307,112150000.0,80048591.36953492,318470000.0,218369102.98101956,112149800.0,80048391.36953492,0.7137631219095792,0.2862363676367818,0.4251208202303313,0.685681863224227,Same order (×0.5–2),
F3,Unimodal,SCHO,300.0,1471.2,2367.781210831409,11682.0,14803.38219698929,6403.2,5081.819902636236,11382.0,14503.38219698929,1.2742384639772704,0.267195873736457,1.7655235748218998,0.7936375410164037,Same order (×0.5–2),
F3,Unimodal,GWO,300.0,1363.7,2612.151720826753,14029.0,11565.371972288134,7311.9,6847.44828556531,13729.0,11265.371972288134,0.820552988002632,0.17560966766782135,2.1736878074896615,0.9364800237373747,Close (±25%),
F4,Simple multimodal,SCHO,400.0,404.69,401.77832733601184,437.64,459.04075617513837,28.354,45.28831935198439,37.639999999999986,59.04075617513837,1.568564191688055,0.04890036599748283,0.37917427207075527,1.5972462210617335,Same order (×0.5–2),
F4,Simple multimodal,GWO,400.0,409.07,410.3629104917298,448.7,434.16704684737084,80.879,6.070526479014252,48.69999999999999,34.16704684737084,0.7015820707879025,0.032389019729505565,1.1425480145236824,0.07505689337175599,Same order (×0.5–2),
F5,Simple multimodal,SCHO,500.0,520.28,520.2452698288237,520.47,520.4866195482815,0.10998,0.1018496694988032,20.470000000000027,20.48661954828151,1.000811897815412,3.193180832993798e-05,0.9982874669045214,0.9260744635279433,Close (±25%),
F5,Simple multimodal,GWO,500.0,520.28,520.3369506137678,520.53,520.5241654795198,0.10816,0.0776498279689776,20.529999999999973,20.524165479519752,0.9997158051397846,1.1208807331413785e-05,1.002808215669027,0.7179163088847781,Close (±25%),
F6,Simple multimodal,SCHO,600.0,601.47,601.5760334008145,605.21,605.7899275577389,1.8743,1.6907429170824375,5.210000000000036,5.789927557738906,1.1113104717349072,0.00095822533953317,1.072131565179899,0.9020663272061236,Close (±25%),
F6,Simple multimodal,GWO,600.0,600.43,600.777388155634,602.93,602.6292216973252,1.3476,1.1859215292102936,2.92999999999995,2.6292216973251925,0.8973452891895008,0.0004988610662510698,1.807879431707088,0.8800248806843972,Close (±25%),
F7,Simple multimodal,SCHO,700.0,700.91,701.0359807402466,708.48,718.8875530242933,12.273,29.360253943685365,8.480000000000018,18.88755302429331,2.2273057811666592,0.014689974345490759,1.138440373897403,2.392263826585624,Notable deviation,Mean excess-error >2× paper.
F7,Simple multimodal,GWO,700.0,700.32,700.313443158519,702.2,701.4386084810874,5.2913,0.8421409370384716,2.2000000000000455,1.4386084810873854,0.653912945948798,0.0010842943875144688,0.9795098703717887,0.15915577212376386,Same order (×0.5–2),
F8,Simple multimodal,SCHO,800.0,805.77,813.09944526815,824.87,831.6380061382962,10.142,10.71638423677378,24.870000000000005,31.63800613829619,1.2721353493484595,0.008204936703112231,2.2702678107712413,1.0566342177848336,Same order (×0.5–2),
F8,Simple multimodal,GWO,800.0,805.07,804.0324104056708,814.66,812.7521129366746,6.5709,5.0413379871728425,14.659999999999968,12.75211293667462,0.8698576355166882,0.002341942728654098,0.7953472200534076,0.7672218398047213,Close (±25%),
F9,Simple multimodal,SCHO,900.0,915.27,909.918503879428,931.54,936.3061569703145,13.263,14.413641660359723,31.539999999999964,36.30615697031453,1.151114678830519,0.005116427604090612,0.6495418388623482,1.086755761167136,Close (±25%),
