Function,Runs,Best,Q1,Median,Q3,Worst,Mean,StdSample,PaperMean,PaperStd,MeanRatio,RunsAtOrBelowPaperMean,NearestBias0,NearestBias100,NearestBias200,NearestBias300,NearestBias400,NearestBias500,NearestBias600,NearestBias700,NearestBias800,NearestBias900
F24,30,0.4716025785,4.18806380325,101.05297060000001,200.034857925,312.3969586,106.31772146496999,100.42237493765282,43.83544,69.86146,2.42538278308533,12,12,7,9,2,0,0,0,0,0,0
F25,30,15.43258194,110.434827075,162.76037895000002,210.5295971,444.6242558,163.08108211899994,86.81494187646204,91.80086,95.5518,1.7764657337523848,5,2,12,14,1,1,0,0,0,0,0
F26,30,113.1079031,156.764012525,199.1033928,259.98914924999997,667.4796641,221.96625812666673,108.93687001147117,61.43776,68.68816,3.6128637848558727,0,0,6,16,6,1,0,0,1,0,0
F27,30,234.5502229,306.221151775,328.54311055,443.5319546,735.3147498,395.23861210000007,138.1911072191516,123.1235,163.9937,3.2100989015094603,0,0,0,2,15,6,2,3,2,0,0
F28,30,1.682107386,6.88233087125,16.335791895,164.082966875,515.9221051,100.66485584009999,140.1317775977131,102.1429,81.25536,0.9855296436668627,18,17,4,7,0,0,2,0,0,0,0
F29,30,501.2529949,902.72268155,903.357027,904.136006975,907.3616225,847.2115720933333,138.39284473245937,43.14261,84.48573,19.637466812817614,0,0,0,0,0,0,4,0,0,1,25
