Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F2,100,14,1013,8000214,30,500,-10.0,10.0,0.0,0.0,2.46283667609353e+47,0.0,7.802099399996223,PASS
F2,100,15,1014,8000215,30,500,-10.0,10.0,0.0,0.0,1.4472400499735014e+49,0.0,8.199661399994511,PASS
F2,100,16,1015,8000216,30,500,-10.0,10.0,0.0,0.0,5.0805872165586895e+45,0.0,8.094818799989298,PASS
F2,100,18,1017,8000218,30,500,-10.0,10.0,0.0,0.0,5.99539571933723e+44,0.0,8.649310900000273,PASS
F2,100,17,1016,8000217,30,500,-10.0,10.0,0.0,5.148561292388267e-274,1.9963278841073286e+46,5.148561292388267e-274,8.861922500000219,PASS
F2,100,22,1021,8000222,30,500,-10.0,10.0,0.0,1.9237764987884955e-262,2.8266324882167e+50,1.9237764987884955e-262,7.65759089999483,PASS
F2,100,20,1019,8000220,30,500,-10.0,10.0,0.0,0.0,3.693762599704221e+48,0.0,7.792379599995911,PASS
F2,100,21,1020,8000221,30,500,-10.0,10.0,0.0,0.0,2.3529037209033e+47,0.0,7.928923100000247,PASS
F2,100,19,1018,8000219,30,500,-10.0,10.0,0.0,0.0,1.4636424829783262e+46,0.0,8.036908199996105,PASS
F2,100,23,1022,8000223,30,500,-10.0,10.0,0.0,0.0,5.301819227881643e+47,0.0,8.206074200003059,PASS
F2,100,24,1023,8000224,30,500,-10.0,10.0,0.0,0.0,5.19642015548818e+48,0.0,8.384499800013145,PASS
F2,100,26,1025,8000226,30,500,-10.0,10.0,0.0,0.0,2.4748690202065674e+50,0.0,8.681698700005654,PASS
F2,100,25,1024,8000225,30,500,-10.0,10.0,0.0,0.0,4.206338331286012e+42,0.0,8.76295069999469,PASS
F2,100,30,1029,8000230,30,500,-10.0,10.0,0.0,3.295307862176356e-270,7.580395008662496e+47,3.295307862176356e-270,6.82604889999493,PASS
F2,100,28,1027,8000228,30,500,-10.0,10.0,0.0,0.0,7.643013213292163e+42,0.0,7.109545300001628,PASS
F2,100,27,1026,8000227,30,500,-10.0,10.0,0.0,9.017199066140078e-276,4.060465897735061e+47,9.017199066140078e-276,7.208046599989757,PASS
F2,100,29,1028,8000229,30,500,-10.0,10.0,0.0,0.0,1.7174186035725727e+45,0.0,7.330532199994195,PASS
F3,100,1,1000,8000301,30,500,-100.0,100.0,0.0,0.0,852199.7110845279,0.0,7.773229799990077,PASS
F3,100,2,1001,8000302,30,500,-100.0,100.0,0.0,0.0,1220009.6371546118,0.0,7.616862400012906,PASS
F3,100,3,1002,8000303,30,500,-100.0,100.0,0.0,0.0,1358062.1324247385,0.0,8.528433699990273,PASS
F3,100,4,1003,8000304,30,500,-100.0,100.0,0.0,0.0,938042.0208109544,0.0,8.367734799991013,PASS
F3,100,8,1007,8000308,30,500,-100.0,100.0,0.0,0.0,1518009.0891696736,0.0,7.91104940000514,PASS
F3,100,5,1004,8000305,30,500,-100.0,100.0,0.0,0.0,1416919.8866758118,0.0,7.980779599995003,PASS
F3,100,7,1006,8000307,30,500,-100.0,100.0,0.0,0.0,2276706.400437502,0.0,8.029172300011851,PASS
F3,100,6,1005,8000306,30,500,-100.0,100.0,0.0,0.0,953190.6056419223,0.0,8.190354299993487,PASS
