Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
V1,F2,26,1025,4024226,30,500,30,0.0,68338205734834.914,0.0,1.9999102000001585,PASS
V1,F2,24,1023,4024224,30,500,30,0.0,1339473094382.0034,0.0,2.08150490000844,PASS
V1,F2,27,1026,4024227,30,500,30,0.0,67722205355.99468,0.0,1.8804009000014048,PASS
V1,F2,28,1027,4024228,30,500,30,0.0,3236421004233.4863,0.0,1.915257599990582,PASS
V1,F2,29,1028,4024229,30,500,30,0.0,3305236700.5331717,0.0,1.9386230999953113,PASS
V1,F2,30,1029,4024230,30,500,30,0.0,811737307015.2843,0.0,1.9309112000046298,PASS
V1,F3,1,1000,4024301,30,500,30,0.0,106811.1871437447,0.0,1.785653099999763,PASS
V1,F3,3,1002,4024303,30,500,30,0.0,132408.1368091635,0.0,1.77657210000325,PASS
V1,F3,2,1001,4024302,30,500,30,0.0,228881.45062340857,0.0,1.845115900010569,PASS
V1,F3,4,1003,4024304,30,500,30,0.0,252004.5370062454,0.0,1.8184031999990111,PASS
V1,F3,6,1005,4024306,30,500,30,0.0,121185.1674532735,0.0,1.771754500005045,PASS
V1,F3,7,1006,4024307,30,500,30,0.0,133484.8315350889,0.0,1.796084300003713,PASS
V1,F3,5,1004,4024305,30,500,30,0.0,126006.68015739581,0.0,1.8326552000071388,PASS
V1,F3,8,1007,4024308,30,500,30,0.0,192911.98136862018,0.0,1.89129650000541,PASS
V1,F3,9,1008,4024309,30,500,30,0.0,135241.10379381198,0.0,1.791147899988573,PASS
V1,F3,11,1010,4024311,30,500,30,0.0,258402.473983956,0.0,1.779290399994352,PASS
V1,F3,10,1009,4024310,30,500,30,0.0,107976.19188391927,0.0,1.8232308000006014,PASS
V1,F3,12,1011,4024312,30,500,30,0.0,137478.41138112583,0.0,1.7976913000020431,PASS
V1,F3,16,1015,4024316,30,500,30,0.0,294151.3375734341,0.0,1.7591045000008307,PASS
V1,F3,13,1012,4024313,30,500,30,0.0,157787.82385873256,0.0,1.8025407000095583,PASS
V1,F3,14,1013,4024314,30,500,30,0.0,166657.1711129854,0.0,1.8048870000056922,PASS
V1,F3,15,1014,4024315,30,500,30,0.0,221992.0552764344,0.0,1.8335197999986121,PASS
V1,F3,18,1017,4024318,30,500,30,0.0,245433.61431170706,0.0,1.7351587000011932,PASS
V1,F3,19,1018,4024319,30,500,30,0.0,244606.59772993292,0.0,1.730673600002774,PASS
V1,F3,17,1016,4024317,30,500,30,0.0,119365.44128648656,0.0,1.7905780999863055,PASS
V1,F3,20,1019,4024320,30,500,30,0.0,161467.97997834763,0.0,1.798533099994529,PASS
V1,F3,23,1022,4024323,30,500,30,0.0,163245.37719853327,0.0,1.7512301999959163,PASS
V1,F3,22,1021,4024322,30,500,30,0.0,135794.76099693272,0.0,1.7871666999999434,PASS
V1,F3,24,1023,4024324,30,500,30,0.0,113871.83421879425,0.0,1.815277400004561,PASS
V1,F3,21,1020,4024321,30,500,30,0.0,126211.38335020539,0.0,1.8461260999902152,PASS
V1,F3,25,1024,4024325,30,500,30,0.0,79356.08665120536,0.0,1.7410894999920856,PASS
V1,F3,26,1025,4024326,30,500,30,0.0,123007.79353130393,0.0,1.767237499996554,PASS
V1,F3,28,1027,4024328,30,500,30,0.0,131384.1741233503,0.0,1.732546100000036,PASS
V1,F3,27,1026,4024327,30,500,30,0.0,183635.15749931926,0.0,1.754097199998796,PASS
V1,F4,2,1001,4024402,30,500,30,0.0,88.23531594133786,0.0,1.6799077000032412,PASS
V1,F3,29,1028,4024329,30,500,30,0.0,171958.72311027217,0.0,1.7400636000093073,PASS
V1,F3,30,1029,4024330,30,500,30,0.0,90997.76111955676,0.0,1.7379449000000022,PASS
V1,F4,1,1000,4024401,30,500,30,0.0,89.41203274460929,0.0,1.7530800999957137,PASS
V1,F4,3,1002,4024403,30,500,30,0.0,90.93773968107635,0.0,1.677555600006599,PASS
V1,F4,4,1003,4024404,30,500,30,0.0,90.05593850015435,0.0,1.680235799998627,PASS
V1,F4,5,1004,4024405,30,500,30,0.0,83.47974018645405,0.0,1.7114895999984583,PASS
V1,F4,6,1005,4024406,30,500,30,0.0,87.42803920060479,0.0,1.6806595999951242,PASS
V1,F4,10,1009,4024410,30,500,30,1.02576e-318,88.62436437004385,1.02576e-318,1.6631984999985434,PASS
V1,F4,7,1006,4024407,30,500,30,0.0,89.67489840896681,0.0,1.7223656999995,PASS
V1,F4,8,1007,4024408,30,500,30,0.0,88.56020743697258,0.0,1.7598430999933043,PASS
V1,F4,9,1008,4024409,30,500,30,0.0,90.98182394999645,0.0,1.7571718999970471,PASS
V1,F4,11,1010,4024411,30,500,30,0.0,82.14021784717164,0.0,1.7011472999874968,PASS
V1,F4,14,1013,4024414,30,500,30,0.0,77.8379255985727,0.0,1.6608307999995304,PASS
V1,F4,12,1011,4024412,30,500,30,0.0,87.6380567694806,0.0,1.7252568999974756,PASS
V1,F4,13,1012,4024413,30,500,30,0.0,81.54232198828862,0.0,1.6968290000077104,PASS
V1,F4,15,1014,4024415,30,500,30,0.0,77.5649543326395,0.0,1.7382358000031672,PASS
V1,F4,17,1016,4024417,30,500,30,0.0,89.68075670875115,0.0,1.7109962999966228,PASS
V1,F4,18,1017,4024418,30,500,30,0.0,91.69265780583274,0.0,1.7191126000107033,PASS
V1,F4,16,1015,4024416,30,500,30,0.0,89.52145242027729,0.0,1.7730272000044351,PASS
V1,F4,21,1020,4024421,30,500,30,0.0,93.48016114980666,0.0,1.6406835000088904,PASS
V1,F4,20,1019,4024420,30,500,30,0.0,89.14712458834947,0.0,1.678094399991096,PASS
V1,F4,19,1018,4024419,30,500,30,0.0,87.81454527863241,0.0,1.7296160000114469,PASS
V1,F4,22,1021,4024422,30,500,30,0.0,90.86947090420732,0.0,1.6960006000008434,PASS
V1,F4,25,1024,4024425,30,500,30,0.0,83.43944699892515,0.0,1.7059041000029538,PASS
