ProtocolID,Algorithm,Function,Run,OptimizerSeed,ObjectiveSeed,FormalObjectiveSeed,ObjectiveSeedRole,Dim,Population,MaxIter,BestScore,BestPositionJSON,PositionAvailable,RuntimeSeconds,Provenance,SourcePath
H5_CLASSICAL_V1,SCHO,F2,3,1002,1002,5024203,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,4,1003,1003,5024204,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,5,1004,1004,5024205,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,6,1005,1005,5024206,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,7,1006,1006,5024207,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,8,1007,1007,5024208,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,9,1008,1008,5024209,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,10,1009,1009,5024210,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,11,1010,1010,5024211,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,12,1011,1011,5024212,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,13,1012,1012,5024213,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,14,1013,1013,5024214,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,15,1014,1014,5024215,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,16,1015,1015,5024216,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,17,1016,1016,5024217,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,18,1017,1017,5024218,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,19,1018,1018,5024219,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,20,1019,1019,5024220,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,21,1020,1020,5024221,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,22,1021,1021,5024222,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,23,1022,1022,5024223,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,24,1023,1023,5024224,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,25,1024,1024,5024225,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,26,1025,1025,5024226,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,27,1026,1026,5024227,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,28,1027,1027,5024228,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,29,1028,1028,5024229,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F2,30,1029,1029,5024230,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,1,1000,1000,5024301,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,2,1001,1001,5024302,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,3,1002,1002,5024303,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,4,1003,1003,5024304,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,5,1004,1004,5024305,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,6,1005,1005,5024306,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,7,1006,1006,5024307,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,8,1007,1007,5024308,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,9,1008,1008,5024309,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,10,1009,1009,5024310,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,11,1010,1010,5024311,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,12,1011,1011,5024312,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,13,1012,1012,5024313,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,14,1013,1013,5024314,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,15,1014,1014,5024315,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,16,1015,1015,5024316,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,17,1016,1016,5024317,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,18,1017,1017,5024318,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,19,1018,1018,5024319,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,20,1019,1019,5024320,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,21,1020,1020,5024321,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,22,1021,1021,5024322,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,23,1022,1022,5024323,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,24,1023,1023,5024324,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,25,1024,1024,5024325,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,26,1025,1025,5024326,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,27,1026,1026,5024327,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,28,1027,1027,5024328,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,29,1028,1028,5024329,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F3,30,1029,1029,5024330,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,1,1000,1000,5024401,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,2,1001,1001,5024402,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,3,1002,1002,5024403,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,4,1003,1003,5024404,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,5,1004,1004,5024405,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,6,1005,1005,5024406,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,7,1006,1006,5024407,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,8,1007,1007,5024408,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,9,1008,1008,5024409,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,10,1009,1009,5024410,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,11,1010,1010,5024411,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,12,1011,1011,5024412,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,13,1012,1012,5024413,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,14,1013,1013,5024414,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,15,1014,1014,5024415,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,16,1015,1015,5024416,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,17,1016,1016,5024417,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,18,1017,1017,5024418,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,19,1018,1018,5024419,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,20,1019,1019,5024420,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,21,1020,1020,5024421,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,22,1021,1021,5024422,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,23,1022,1022,5024423,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,24,1023,1023,5024424,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,25,1024,1024,5024425,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,26,1025,1025,5024426,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,27,1026,1026,5024427,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,28,1027,1027,5024428,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,29,1028,1028,5024429,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F4,30,1029,1029,5024430,IGNORED_DETERMINISTIC,30,30,500,0.0,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
H5_CLASSICAL_V1,SCHO,F5,1,1000,1000,5024501,IGNORED_DETERMINISTIC,30,30,500,28.02289834298946,,False,,REUSED_SCHO_C12,results/raw/scho_classic23_runs.csv
